south_hand,west_hand,north_hand,east_hand,first_card,tricks
3SJT754H87DAQT3CAK,S3HKJ96D9762C9652,SAK98H5DK84CQJT74,SQ62HAQT432DJ5C83,h6,11
3SJT754H87DAQT3CAK,S3HKJ96D9762C9652,SAK98H5DK84CQJT74,SQ62HAQT432DJ5C83,hA,11
4SAKT73HTDAK875CK8,S54HAKQ54DQ92CQJ3,S8HJ9872DJT43C962,SQJ962H63D6CAT754,hA,10
4SAKT73HTDAK875CK8,S54HAKQ54DQ92CQJ3,S8HJ9872DJT43C962,SQJ962H63D6CAT754,hA,10
1SAHT98652D64CQ965,S85H7DQJT952C8742,SKQT742HAK43D8CKT,SJ963HQJDAK73CAJ3,hK,8
1SAHT98652D64CQ965,S85H7DQJT952C8742,SKQT742HAK43D8CKT,SJ963HQJDAK73CAJ3,sK,8
2SJ864H64D95CKQ873,SA9752HQDA732CAJ5,SK3H5DQJT86CT9642,SQTHAKJT98732DK4C,h6,13
2SJ864H64D95CKQ873,SA9752HQDA732CAJ5,SK3H5DQJT86CT9642,SQTHAKJT98732DK4C,dQ,13
3SKT942HK6DA2CQT64,SA863HAT42D95CJ75,SQ5H73DQJ743CK982,SJ7HQJ985DKT86CA3,c6,10
3SKT942HK6DA2CQT64,SA863HAT42D95CJ75,SQ5H73DQJ743CK982,SJ7HQJ985DKT86CA3,h3,9
4SK5HAJ963D75CAKT2,S974H42DAQJ42CQ95,SQTHQT85DT83CJ864,SAJ8632HK7DK96C73,cA,11
4SK5HAJ963D75CAKT2,S974H42DAQJ42CQ95,SQTHQT85DT83CJ864,SAJ8632HK7DK96C73,cA,10
1S2HAQ653D76CKJ876,SKJTHJ42DAJ95CQ53,S8543HT987DKT4CT2,SAQ976HKDQ832CA94,d7,10
1S2HAQ653D76CKJ876,SKJTHJ42DAJ95CQ53,S8543HT987DKT4CT2,SAQ976HKDQ832CA94,d7,9
2S8HQ92DQ8432CJ875,S9532HA643DKJCKQ4,SAJT74H8D765CAT92,SKQ6HKJT75DAT9C63,s8,9
2S8HQ92DQ8432CJ875,S9532HA643DKJCKQ4,SAJT74H8D765CAT92,SKQ6HKJT75DAT9C63,s8,9
3SQ652H75D9732CKQ3,S7HQJT9DT84CJ8654,SK984HA862DA6CAT7,SAJT3HK43DKQJ5C92,dK,7
3SQ652H75D9732CKQ3,S7HQJT9DT84CJ8654,SK984HA862DA6CAT7,SAJT3HK43DKQJ5C92,dK,6
4SK7654HA83DJ7CA62,ST93HK97DQ54CKJ87,SA8H54DK8632CT543,SQJ2HQJT62DAT9CQ9,dJ,8
4SK7654HA83DJ7CA62,ST93HK97DQ54CKJ87,SA8H54DK8632CT543,SQJ2HQJT62DAT9CQ9,h7,6
